Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Weight_per_Unit_g,fiber_g,sugar_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg_detailed,zinc_mg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b6_mg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,folate_mcg,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,trans_fat_g,cholesterol_mg_detailed,omega_3_g,omega_6_g
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.5,17.0,7.5,0.5,16.0,55,30,Snack,0,120.0,0.0,0.0,147.6,0.0,0.0,0.0,222.0,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38,3.6959999999999997,0.0,0.0,45.6,0.0,0.0
Pizza (1 slice pepperoni),Meal/Processed,290,12.0,34.0,12.0,2.0,4.0,720,35,Dinner,250,40.0,0.32000000000000006,0.0,30.400000000000002,0.328,0.0,0.0,0.0,160.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,12.0,0.0,0.0
Avocado Toast (1 slice),Meal/Vegetarian,260,7.0,28.0,15.0,10.0,1.0,350,0,Breakfast,500,40.0,0.04000000000000001,0.0,13.600000000000001,0.13999999999999999,2.8000000000000003,12.4,23.200000000000003,346.8,0.1,4.0,0.008,0.020000000000000004,0.05600000000000001,0.004,0.0,0.08000000000000002,0.0,1.8399999999999999,38.68000000000001,1.6,2.3912,3.7692,9.266,0.0,16.0,0.0,0.0
Hard-Boiled Egg (1 large),Protein,78,6.3,0.6,5.3,0.0,0.5,62,187,Snack,0,200.0,0.0,0.0,100.0,2.38,20.0,344.0,252.0,248.0,2.1,298.0,0.132,1.026,0.128,0.242,2.22,0.0,4.4,2.06,0.6,88.0,6.54,8.16,2.82,0.0,746.0,0.0,0.0
Chicken Wrap (with tortilla),Meal/Processed,410,25.0,38.0,17.0,5.0,3.0,780,60,Lunch,250,100.0,1.3,0.0,149.0,1.41,18.0,200.0,177.0,603.0,1.0,38.0,0.178,0.189,3.682,0.11,0.0,0.5,0.4,0.66,29.4,38.0,4.511,4.101,6.608,0.0,48.0,0.0,0.0
Grapes (1 cup),Fruit,104,1.1,27.0,0.2,1.4,23.0,3,0,Snack,0,240.0,4.32,0.0,43.199999999999996,0.84,0.0,0.0,463.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cottage Cheese (1/2 cup),Dairy,90,12.0,5.0,3.0,0.0,4.0,400,10,Snack,0,120.0,0.0,0.0,105.6,0.0,0.0,0.0,127.19999999999999,520.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7199999999999998,0.0,0.0,0.0,26.4,0.0,0.0
Burger (cheeseburger),Meal/Processed,550,30.0,40.0,30.0,3.0,7.0,1100,90,Dinner,500,100.0,5.9,0.0,0.0,0.0,0.0,0.0,206.0,3180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Fries (medium),Vegetable/Processed,340,4.0,44.0,17.0,4.0,0.3,230,0,Dinner,0,150.0,3.5999999999999996,0.0,0.0,0.645,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,3.57,5.3549999999999995,3.57,0.0,0.0,0.0,0.0
Protein Bar,Supplement/Processed,210,20.0,22.0,7.0,6.0,1.0,180,5,Snack,500,100.0,18.5,0.0,462.0,0.55,0.0,0.0,246.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
Black Beans (1/2 cup),Legume,114,7.6,20.4,0.5,7.5,0.3,1,0,Lunch,0,120.0,4.56,0.0,37.199999999999996,1.332,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salsa (1/4 cup),Vegetable,20,0.8,4.5,0.1,1.0,3.0,250,0,Lunch,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken Noodle Soup (1 can),Meal/Processed,150,7.0,18.0,5.0,2.0,2.0,890,15,Lunch,250,350.0,1.4000000000000001,0.0,28.0,2.1,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.735,0.0,0.0,0.0,101.5,0.0,0.0
Peanut Butter (2 tbsp),Nut,190,7.0,8.0,16.0,2.0,3.0,140,0,Snack,0,15.0,0.75,0.0,7.35,0.261,25.2,50.25,83.7,63.9,0.37649999999999995,0.0,0.0225,0.0288,1.9667999999999999,0.06615,0.0,0.0,0.0,1.365,0.045,13.049999999999999,1.5487499999999998,3.8911499999999997,1.88025,0.0,0.0,0.0,0.0
Celery Sticks (1 cup),Vegetable,14,0.6,3.0,0.2,1.4,1.2,77,0,Snack,0,240.0,2.88,0.0,84.0,0.48,0.0,0.0,621.6,196.79999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cod (4oz baked),Protein/Fish,95,20.0,0.0,0.8,0.0,0.0,95,55,Dinner,250,113.4,0.6804,0.0,39.690000000000005,0.9639000000000001,0.0,0.0,0.0,474.01200000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9690000000000003,0.0,0.0,0.0,0.0,0.66906,0.0,0.0,0.0,36.288000000000004,0.0,0.0
Green Beans (1 cup),Vegetable,31,1.8,7.0,0.2,2.7,3.3,6,0,Dinner,0,240.0,5.76,0.0,112.8,2.04,0.0,0.0,0.0,14.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.439999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chocolate Chip Cookie (1 large),Dessert,220,2.5,30.0,11.0,1.5,19.0,160,20,Snack,0,200.0,4.8,0.0,48.0,4.7,0.0,0.0,236.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,24.0,0.0,0.0
Shrimp (3oz steamed),Protein/Fish,84,20.0,0.2,0.2,0.0,0.0,100,161,Dinner,250,85.1,0.0,0.0,60.421,0.35741999999999996,0.0,0.0,0.0,420.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.312,0.0,0.0
Pancakes (2 medium),Grain,180,5.0,30.0,5.0,1.0,6.0,450,25,Breakfast,0,150.0,2.4000000000000004,0.0,145.5,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215,0.0,0.0,0.0,78.0,0.0,0.0
Maple Syrup (2 tbsp),Condiment,104,0.0,27.0,0.0,0.0,24.0,2,0,Breakfast,0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,42.449999999999996,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sausage Link (1 cooked),Protein/Meat,85,5.0,1.0,7.0,0.0,0.5,300,20,Breakfast,0,45.0,0.0,0.0,4.95,0.2655,4.95,70.65,217.35,372.15000000000003,0.5895,0.0,0.0954,0.081,1.2645,0.08055,0.0,0.0,0.49500000000000005,0.1125,0.0,0.45,4.189500000000001,5.04,1.6335,0.0711,27.45,0.07605,1.431
Smoothie (Fruit & Yogurt),Beverage/Meal,280,12.0,55.0,3.0,7.0,40.0,70,5,Breakfast,250,100.0,2.8,0.0,73.0,0.41,31.0,73.0,349.0,38.0,0.51,75.0,0.064,0.143,0.796,0.157,0.0,8.1,0.5,1.12,85.4,50.0,1.391,3.919,0.746,0.0,4.0,0.0,0.0
Tofu (4oz firm),Protein/Vegetarian,90,10.0,3.0,5.0,2.0,1.0,10,0,Lunch,0,113.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown Rice (1 cup cooked),Grain,215,5.0,45.0,1.8,3.5,0.4,10,0,Lunch,0,240.0,11.52,0.0,24.0,5.712,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bell Pepper (1 medium red),Vegetable,31,1.2,6.0,0.3,2.1,4.2,4,0,Lunch,0,150.0,1.4129999999999998,0.0,11.25,0.279,13.5,25.200000000000003,244.5,0.0,0.189,0.0,0.05865000000000001,0.1332,0.954,0.3705,0.0,149.25,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hummus (2 tbsp),Legume,70,2.0,4.0,5.0,2.0,0.0,130,0,Snack,0,15.0,1.065,0.0,10.65,0.1935,0.0,0.0,0.0,69.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2899999999999998,0.0,0.0,0.0,0.0,0.5355,0.0,0.0,0.0,0.0,0.0,0.0
Pita Bread (1 whole wheat),Grain,170,6.0,35.0,1.5,5.0,2.0,320,0,Snack,0,100.0,5.1,0.0,154.0,2.77,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pork Chop (4oz grilled),Protein/Meat,220,30.0,0.0,10.0,0.0,0.0,70,85,Dinner,250,113.4,1.1340000000000001,0.0,17.01,0.8278200000000001,24.948000000000004,197.31600000000003,332.26200000000006,469.47600000000006,1.5195600000000002,31.752000000000002,0.508032,0.18484200000000003,6.552252,0.46607400000000004,0.0,0.3402,0.45360000000000006,0.48762000000000005,3.5154000000000005,39.690000000000005,3.0255120000000004,4.37157,1.9107900000000002,0.0,52.16400000000001,0.0,0.0
Mashed Potatoes (1 cup),Vegetable,230,4.0,35.0,8.0,3.0,2.0,350,15,Dinner,0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corn (1 cup),Vegetable,132,4.7,30.0,1.8,3.6,8.9,2,0,Dinner,0,240.0,14.639999999999999,0.0,146.4,2.904,0.0,0.0,0.0,364.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92,0.0,0.0,0.0,0.0,0.0,0.0
Soda (1 can Coke),Beverage,140,0.0,39.0,0.0,0.0,39.0,45,0,Snack,355,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pretzels (1 oz),Grain/Processed,110,3.0,23.0,1.0,1.0,1.0,450,0,Snack,0,28.4,1.0224,0.0,0.0,0.0,0.0,0.0,0.0,366.35999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheddar Cheese (1 oz),Dairy,115,7.0,1.0,9.5,0.0,0.5,180,30,Snack,0,28.4,0.0,0.0,202.77599999999998,0.0,0.0,0.0,0.0,192.83599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0775999999999994,0.0,0.0,0.0,25.275999999999996,0.0,0.0
Caesar Salad (with chicken),Meal/Protein,470,30.0,15.0,30.0,3.0,3.0,890,75,Lunch,250,100.0,2.0,0.0,157.0,1.06,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,8.0,0.0,0.0
Orange Juice (1 cup),Beverage,112,1.7,25.8,0.5,0.7,20.8,2,0,Breakfast,240,240.0,0.0,0.0,350.4,0.0,24.0,0.0,451.2,0.0,0.0,0.0,0.0,0.0,0.4008,0.0792,0.0,60.0,100.8,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacon (2 slices cooked),Protein/Meat,86,6.0,0.2,6.8,0.0,0.1,330,18,Breakfast,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,0.0,0.0,0.0,28.400000000000002,0.0,0.0
Waffles (2 homemade),Grain,220,6.0,28.0,9.0,1.5,3.0,420,45,Breakfast,0,100.0,1.4,0.0,0.0,0.51,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,2.86,5.71,0.0,0.0,0.0,0.0
Pear,Fruit,101,0.6,27.0,0.2,5.5,16.0,2,0,Snack,0,100.0,3.1,0.0,9.0,0.18,7.0,11.0,104.0,3.0,0.09,1.0,0.012,0.026,0.162,0.028,0.0,4.3,0.0,0.12,4.2,7.0,0.022,0.084,0.094,0.0,0.0,0.0,0.0
Chicken Breast (4oz roasted),Protein/Meat,185,35.0,0.0,4.0,0.0,0.0,80,95,Lunch,500,113.4,0.0,0.0,179.17200000000003,0.43092,0.0,0.0,0.0,491.02200000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9278000000000002,0.0,0.0,0.0,0.0,5.193720000000001,0.0,0.0,0.0,75.97800000000001,0.0,0.0
Mixed Nuts (1/4 cup),Nut,200,6.0,8.0,18.0,3.0,2.0,1,0,Snack,0,60.0,4.26,0.0,75.0,2.784,0.0,0.0,385.8,171.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.284,17.16,8.58,0.0,0.0,0.0,0.0
Tilapia (4oz baked),Protein/Fish,110,22.0,0.0,2.5,0.0,0.0,50,50,Dinner,0,113.4,0.0,0.0,0.0,0.0,0.0,0.0,396.90000000000003,34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5670000000000001,0.0,0.0,0.0,22.680000000000003,0.0,0.0
Asparagus (1 cup steamed),Vegetable,40,4.3,7.4,0.4,3.6,3.5,4,0,Dinner,0,240.0,5.76,0.0,57.599999999999994,5.64,0.0,0.0,484.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweet Potato (1 medium baked),Vegetable,103,2.3,23.6,0.2,3.8,7.4,41,0,Dinner,0,150.0,2.8499999999999996,0.0,39.0,0.8699999999999999,0.0,0.0,0.0,259.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999999,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,21.0,0.0,0.0
Popcorn (3 cups air-popped),Grain,93,3.0,18.6,1.1,3.6,0.1,2,0,Snack,250,240.0,28.32,0.0,0.0,6.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.352,7.056,0.0,0.0,0.0,0.0
Raisins (1/4 cup),Fruit,130,1.3,34.0,0.2,1.6,25.0,5,0,Snack,0,60.0,2.6999999999999997,0.0,37.199999999999996,1.074,21.599999999999998,58.8,446.4,15.6,0.216,0.0,0.06359999999999999,0.075,0.4596,0.10439999999999999,0.0,1.38,0.0,0.072,2.1,3.0,0.0564,0.0144,0.031799999999999995,0.0,0.0,0.0,0.0
Macaroni & Cheese (1 cup),Meal/Pasta,350,10.0,40.0,17.0,2.0,5.0,750,40,Lunch,250,240.0,0.96,0.0,168.0,1.056,0.0,0.0,170.4,1077.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4079999999999995,0.0,0.0,0.0,31.2,0.0,0.0
